city_name,city_name_normalized,station_count,primary_station,primary_uic_code,centroid_latitude,centroid_longitude,all_stations
Garges,garges,1,Garges - Sarcelles,87276196,48.97663,2.39078,Garges - Sarcelles
Gauriaguet,gauriaguet,1,Gauriaguet,87491225,45.0542936,-0.3992689,Gauriaguet
Gazeran,gazeran,1,Gazeran,87393348,48.6259183,1.7718857,Gazeran
Gazinet Cestas,gazinet cestas,1,Gazinet Cestas,87582403,44.772218,-0.69949,Gazinet Cestas
Geispolsheim,geispolsheim,1,Geispolsheim,87212258,48.5190515,7.6843578,Geispolsheim
Gemeaux,gemeaux,1,Gemeaux,87713842,47.478542,5.1293074,Gemeaux
Genlis,genlis,1,Genlis,87713313,47.244579,5.223406,Genlis
Gennevilliers,gennevilliers,1,Gennevilliers,87271205,48.93368,2.30699,Gennevilliers
Germaine,germaine,1,Germaine,87171587,49.1277634,4.0228976,Germaine
Gertwiller,gertwiller,1,Gertwiller,87214254,48.4133621,7.4663166,Gertwiller
Gerzat,gerzat,1,Gerzat,87734046,45.8335879,3.1431045,Gerzat
Gestel,gestel,1,Gestel,87476309,47.8029905,-3.4431341,Gestel
Gevrey,gevrey,1,Gevrey-Chambertin,87713503,47.2274694,4.999058,Gevrey-Chambertin
Gien,gien,1,Gien,87684290,47.699088,2.636205,Gien
Gignac,gignac,1,Gignac - Cressensac,87594325,45.0146074,1.4831648,Gignac - Cressensac
Gilley,gilley,1,Gilley,87718577,47.0500626,6.4925676,Gilley
Gilly,gilly,1,Gilly-sur-Loire,87694869,46.5370137,3.7821607,Gilly-sur-Loire
Gimont Cahuzac,gimont cahuzac,1,Gimont Cahuzac,87611772,43.6330525,0.8676246,Gimont Cahuzac
Gironde,gironde,1,Gironde-sur-Dropt,87582858,44.583292,-0.0920127,Gironde-sur-Dropt
Gisors,gisors,1,Gisors,87381244,49.28512,1.78455,Gisors
Givet,givet,1,Givet,87172130,50.14025067,4.81798595,Givet
Givors,givors,1,Givors,87722405,45.584948,4.766086,Givors
Givors Canal,givors canal,1,Givors Canal,87722439,45.5957662,4.7725754,Givors Canal
Gièvres,gievres,1,Gièvres,87576876,47.2787925,1.6678267,Gièvres
Golfe Juan Vallauris,golfe juan vallauris,1,Golfe Juan Vallauris,87757641,43.566501,7.073578,Golfe Juan Vallauris
Goncelin,goncelin,1,Goncelin,87747477,45.341941,5.974136,Goncelin
Gonfaron,gonfaron,1,Gonfaron,87755397,43.3171516,6.2817644,Gonfaron
Gorges,gorges,1,Gorges,87481432,47.1001487,-1.3058778,Gorges
Gourdon,gourdon,1,Gourdon,87613141,44.7419445,1.389237,Gourdon
Gourland,gourland,1,Gourland,87473801,48.5609981,-3.1668191,Gourland
Gournay,gournay,1,Gournay - Ferrières,87381293,49.4813674,1.7380891,Gournay - Ferrières
Goussainville,goussainville,1,Goussainville,87276246,49.0240732,2.4632464,Goussainville
Goxwiller,goxwiller,1,Goxwiller,87214270,48.4327551,7.4787296,Goxwiller
Graffenstaden,graffenstaden,1,Graffenstaden,87212241,48.5324375,7.6897861,Graffenstaden
Graffenwald,graffenwald,1,Graffenwald,87181131,47.7808232,7.2247908,Graffenwald
Gragnague,gragnague,1,Gragnague,87615377,43.696179,1.567731,Gragnague
Gramat,gramat,1,Gramat,87613059,44.7734284,1.7223028,Gramat
Grand,grand,1,Grand-Combe la Pise,87775254,44.2098159,4.0329591,Grand-Combe la Pise
Grand Bourg,grand bourg,1,Grand Bourg,87681353,48.648004,2.435939,Grand Bourg
Grande,grande,1,Grande-Synthe,87281311,51.0026884,2.3133547,Grande-Synthe
Grandvillars,grandvillars,1,Grandvillars,87184432,47.53763,6.9785,Grandvillars
Grandvilliers,grandvilliers,1,Grandvilliers,87313734,49.6593779,1.9384836,Grandvilliers
Granville,granville,1,Granville,87447680,48.838456,-1.587757,Granville
Grasse,grasse,1,Grasse,87757724,43.653317,6.925524,Grasse
Gravelines,gravelines,1,Gravelines,87281246,50.978736,2.1232852,Gravelines
Gravigny Balizy,gravigny balizy,1,Gravigny Balizy,87393645,48.6851718,2.317846,Gravigny Balizy
Gresswiller,gresswiller,1,Gresswiller,87214593,48.53334,7.42468,Gresswiller
Gretz,gretz,1,Gretz-Armainvilliers,87116012,48.74544,2.728824,Gretz-Armainvilliers
Grigny Centre,grigny centre,1,Grigny Centre,87681379,48.65343,2.395797,Grigny Centre
Grigny le Sablon,grigny le sablon,1,Grigny le Sablon,87722298,45.6072601,4.796144,Grigny le Sablon
Grisolles,grisolles,1,Grisolles,87611673,43.8269619,1.3023292,Grisolles
Groisy,groisy,1,Groisy - Thorens-Glières,87746248,46.0111205,6.17568,Groisy - Thorens-Glières
Gros Noyer Saint,gros noyer saint,1,Gros Noyer Saint-Prix,87276592,48.99682,2.2588,Gros Noyer Saint-Prix
Groslay,groslay,1,Groslay,87276360,48.98462,2.35358,Groslay
Guichen,guichen,1,Guichen - Bourg-des-Comptes,87471151,47.9350963,-1.7601845,Guichen - Bourg-des-Comptes
Guignicourt,guignicourt,1,Guignicourt,87171736,49.434862,3.961334,Guignicourt
Guillerval,guillerval,1,Guillerval,87545129,48.3744455,2.0598748,Guillerval
Guimiliau,guimiliau,1,Guimiliau,87474296,48.4852675,-3.9996163,Guimiliau
Guingamp,guingamp,1,Guingamp,87473207,48.555659,-3.143343,Guingamp
Gujan,gujan,1,Gujan-Mestras,87582619,44.640454,-1.06906,Gujan-Mestras
Gundershoffen,gundershoffen,1,Gundershoffen,87213223,48.905261,7.6535345,Gundershoffen
Gunsbach,gunsbach,1,Gunsbach - Griesbach,87182386,48.0414908,7.1748407,Gunsbach - Griesbach
Guérard,guerard,1,Guérard - La Celle-sur-Morin,87116269,48.810588,2.954783,Guérard - La Celle-sur-Morin
Guéret,gueret,1,Guéret,87597609,46.1741863,1.8793855,Guéret
Guéthary,guethary,1,Guéthary,87673459,43.4253491,-1.6098615,Guéthary
Génelard,genelard,1,Génelard,87694653,46.5812177,4.2379965,Génelard
Génolhac,genolhac,1,Génolhac,87775213,44.3471626,3.9516407,Génolhac
Générac,generac,1,Générac,87775791,43.7324379,4.3434742,Générac
Habsheim,habsheim,1,Habsheim,87182089,47.737691,7.417979,Habsheim
Hachette,hachette,1,Hachette,87297523,50.1582852,3.7434526,Hachette
Hagondange,hagondange,1,Hagondange,87191114,49.25356,6.16448,Hagondange
Haguenau,haguenau,1,Haguenau,87213058,48.8134498,7.7827255,Haguenau
Halsou,halsou,1,Halsou - Larressore,87673640,43.3781301,-1.4279003,Halsou - Larressore
Haluchère Batignolles,haluchere batignolles,1,Haluchère Batignolles,87590331,47.249142,-1.5224436,Haluchère Batignolles
Hangest,hangest,1,Hangest-sur-Somme,87313114,49.9822011,2.0661412,Hangest-sur-Somme
Harfleur,harfleur,1,Harfleur,87413302,49.5136336,0.1989828,Harfleur
Hargicourt,hargicourt,1,Hargicourt - Pierrepont,87313338,49.7138593,2.5317673,Hargicourt - Pierrepont
Hatrize,hatrize,1,Hatrize,87192724,49.1934741,5.9071141,Hatrize
Haubourdin,haubourdin,1,Haubourdin,87286096,50.6070495,2.990153,Haubourdin
Haussmann Saint,haussmann saint,1,Haussmann Saint-Lazare,87281899,48.87478,2.32862,Haussmann Saint-Lazare
Haute Picardie TGV,haute picardie tgv,1,Haute Picardie TGV,87313882,49.859182,2.8319,Haute Picardie TGV
Hautmont,hautmont,1,Hautmont,87295568,50.25398,3.91522,Hautmont
