uic_code,station_name,station_name_normalized,city_name,city_name_normalized,latitude,longitude,segment_drg
87725671,Senozan,senozan,Senozan,senozan,46.392145,4.871063,
87725689,Mâcon,macon,Mâcon,macon,46.302572,4.824887,
87725705,Mâcon - Loché TGV,macon - loche tgv,Mâcon - Loché,macon - loche,46.282912,4.778924,
87725713,Crêches-sur-Saône,creches-sur-saone,Crêches-sur-Saône,creches-sur-saone,46.246154,4.784047,
87725721,Pontanevaux,pontanevaux,Pontanevaux,pontanevaux,46.213047,4.772881,
87725739,Romanèche-Thorins-Maison Blanche,romaneche-thorins-maison blanche,Romanèche-Thorins-Maison Blanche,romaneche-thorins-maison blanche,46.176344,4.741973,
87725804,Pont-de-Veyle,pont-de-veyle,Pont-de-Veyle,pont-de-veyle,46.267772,4.892871,
87725812,St-Jean-sur-Veyle,st-jean-sur-veyle,St-Jean-sur-Veyle,st-jean-sur-veyle,46.260585,4.915607,
87725820,Vonnas,vonnas,Vonnas,vonnas,46.227149,4.991831,
87725838,Mézériat,mezeriat,Mézériat,mezeriat,46.234986,5.046587,
87725846,Polliat,polliat,Polliat,polliat,46.244657,5.123894,
87725895,Échirolles,echirolles,Échirolles,echirolles,45.153022,5.718943,
87726000,Saint-Étienne Châteaucreux,saint-etienne chateaucreux,Saint-Étienne Châteaucreux,saint-etienne chateaucreux,45.443366,4.399722,
87726083,Domfessel Abri Rue Principale,domfessel abri rue principale,Domfessel,domfessel,48.951581,7.160614,
87726091,Lorentzen Rue principale,lorentzen rue principale,Lorentzen,lorentzen,48.952522,7.175649,
87726158,Saint-Étienne La Terrasse,saint-etienne la terrasse,Saint-Étienne La Terrasse,saint-etienne la terrasse,45.464868,4.379554,
87726174,Saint-Étienne Le Clapier,saint-etienne le clapier,Saint-Étienne Le Clapier,saint-etienne le clapier,45.437125,4.378384,
87726190,Saint-Étienne Bellevue,saint-etienne bellevue,Saint-Étienne Bellevue,saint-etienne bellevue,45.417198,4.392683,
87726208,Veauche - Saint-Galmier,veauche - saint-galmier,Veauche -,veauche -,45.565928,4.293438,
87726216,Bouthéon,boutheon,Bouthéon,boutheon,45.525002,4.278182,
87726232,La Fouillouse,la fouillouse,La,la,45.497768,4.317084,
87726307,Saint-Chamond,saint-chamond,Saint-Chamond,saint-chamond,45.472557,4.516971,
87726331,Rive-de-Gier,rive-de-gier,Rive-de-Gier,rive-de-gier,45.524324,4.606648,
87726406,Andrézieux,andrezieux,Andrézieux,andrezieux,45.521736,4.255418,
87726414,Bonson,bonson,Bonson,bonson,45.522197,4.21625,
87726422,Sury-le-Comtal,sury-le-comtal,Sury-le-Comtal,sury-le-comtal,45.52912,4.182497,
87726430,Saint-Romain-le-Puy,saint-romain-le-puy,Saint-Romain-le-Puy,saint-romain-le-puy,45.554576,4.120989,
87726448,Montbrison,montbrison,Montbrison,montbrison,45.604481,4.07824,
87726471,Boën,boen,Boën,boen,45.741386,4.005061,
87726703,La Ricamarie,la ricamarie,La,la,45.404152,4.360686,
87726711,Le Chambon-Feugerolles,le chambon-feugerolles,Le Chambon-Feugerolles,le chambon-feugerolles,45.394777,4.322484,
87726729,Firminy,firminy,Firminy,firminy,45.391656,4.28643,
87726737,Fraisses - Unieux,fraisses - unieux,Fraisses - Unieux,fraisses - unieux,45.394823,4.261037,
87726760,Aurec,aurec,Aurec,aurec,45.37118,4.198432,
87726778,Bas - Monistrol,bas - monistrol,Bas - Monistrol,bas - monistrol,45.297683,4.139678,
87726786,Pont de Lignon,pont de lignon,Pont,pont,45.259769,4.137082,
87726794,Beauzac,beauzac,Beauzac,beauzac,45.258168,4.099086,
87726802,Roanne,roanne,Roanne,roanne,46.039383,4.063207,
87726828,Le Coteau,le coteau,Le,le,46.023988,4.086281,
87726851,Saint-Jodard,saint-jodard,Saint-Jodard,saint-jodard,45.88568,4.125243,
87726869,Balbigny,balbigny,Balbigny,balbigny,45.817868,4.187427,
87726877,Feurs,feurs,Feurs,feurs,45.744145,4.230487,
87726885,Montrond-les-Bains,montrond-les-bains,Montrond-les-Bains,montrond-les-bains,45.644431,4.248826,
87726901,Saint-Étienne Carnot,saint-etienne carnot,Saint-Étienne Carnot,saint-etienne carnot,45.446976,4.385317,
87727735,Troyes Théâtre de Champagne,troyes theatre de champagne,Troyes,troyes,48.300295,4.074469,
87727743,Troyes Pont Vert,troyes pont vert,Troyes,troyes,48.308703,4.069091,
87727750,Saint-Lyé Mantenay,saint-lye mantenay,Saint-Lyé Mantenay,saint-lye mantenay,48.355461,4.012673,
87727768,Saint Lyé Gravières,saint lye gravieres,Saint,saint,48.36548,3.997967,
87727776,Saint-Lyé Régales,saint-lye regales,Saint-Lyé Régales,saint-lye regales,48.369507,3.993917,
87727784,Payns Église,payns eglise,Payns,payns,48.379585,3.982801,
87727792,Payns Abri Côté Savières,payns abri cote savieres,Payns,payns,48.387257,3.9713,
87727800,Savières Arbre de la Liberté,savieres arbre de la liberte,Savières,savieres,48.403872,3.954552,
87727818,Savières Rue Saint-Gilles,savieres rue saint-gilles,Savières,savieres,48.420158,3.943448,
87727826,Fontaine-les-Grés Mairie,fontaine-les-gres mairie,Fontaine-les-Grés Mairie,fontaine-les-gres mairie,48.424302,3.911219,
87727834,Saint-Mesmin Place du Monument,saint-mesmin place du monument,Saint-Mesmin Place du Monument,saint-mesmin place du monument,48.445244,3.926411,
87727842,Saint-Mesmin Courlanges,saint-mesmin courlanges,Saint-Mesmin Courlanges,saint-mesmin courlanges,48.452667,3.917763,
87727859,Maizières la Grande Paroisse Pont de Clairvaux,maizieres la grande paroisse pont de clairvaux,Maizières,maizieres,48.513127,3.800473,
87727867,Romilly-sur-Seine Centre Commercial,romilly-sur-seine centre commercial,Romilly-sur-Seine Centre Commercial,romilly-sur-seine centre commercial,48.5038,3.7588,
87727875,Saint Pouange Lycée Agricole,saint pouange lycee agricole,Saint,saint,48.237065,4.045994,
87727883,Ville-sous-la-Ferté Tramway,ville-sous-la-ferte tramway,Ville-sous-la-Ferté Tramway,ville-sous-la-ferte tramway,48.12167,4.787636,
87727891,Ville sous la Ferté Four à Chaux,ville sous la ferte four a chaux,Ville,ville,48.153926,4.794349,
87727909,Bar sur Aube Collége,bar sur aube college,Bar,bar,48.227346,4.704348,
87727917,Amance la Ville au Bois Eglise,amance la ville au bois eglise,Amance,amance,48.286223,4.500366,
87727925,Amance Mairie/Ecole,amance mairieecole,Amance,amance,48.295107,4.516132,
87728501,Saint-Fons,saint-fons,Saint-Fons,saint-fons,45.70579,4.852564,
87728584,Sarre-Union Rue des Roses,sarre-union rue des roses,Sarre-Union Rue des Roses,sarre-union rue des roses,48.937562,7.091307,
87728592,Herbitzheim Rue de Hambach,herbitzheim rue de hambach,Herbitzheim,herbitzheim,49.021414,7.076665,
87730994,Keskastel Rue de la Libération,keskastel rue de la liberation,Keskastel,keskastel,48.977149,7.046092,
87731604,Celles-sur-Durolle Arrêt des Cars,celles-sur-durolle arret des cars,Celles-sur-Durolle Arrêt des Cars,celles-sur-durolle arret des cars,45.866782,3.644889,
87731802,Saint-Georges-d'Aurac Bourg,saint-georges-daurac bourg,Saint-Georges-d'Aurac Bourg,saint-georges-daurac bourg,45.156213,3.54073,
87731828,Lachaud-Curmilhac,lachaud-curmilhac,Lachaud-Curmilhac,lachaud-curmilhac,45.122888,3.61043,
87731885,Alleyras,alleyras,Alleyras,alleyras,44.919217,3.673517,
87732008,Vichy,vichy,Vichy,vichy,46.126991,3.430476,
87732206,Saint-Germain-des-Fossés,saint-germain-des-fosses,Saint-Germain-des-Fossés,saint-germain-des-fosses,46.209239,3.430574,
87732222,Bar-sur-Aube Lycée,bar-sur-aube lycee,Bar-sur-Aube Lycée,bar-sur-aube lycee,48.226706,4.700115,
87732297,Bayel Place du G.de Gaulle,bayel place du gde gaulle,Bayel,bayel,48.196753,4.77545,
87732404,Gannat,gannat,Gannat,gannat,46.097592,3.204773,
87732693,Chenimenil Filature,chenimenil filature,Chenimenil,chenimenil,48.133949,6.600507,
87733592,Gap Gare Routière,gap gare routiere,Gap,gap,44.561601,6.082358,
