origin_uic,destination_uic,origin_name,destination_name,trip_count,duration_minutes,source
87182063,87300822,Mulhouse,Belfort - Montbéliard TGV,38,22,GTFS_TGV
87300822,87300863,Belfort - Montbéliard TGV,Besançon Franche-Comté TGV,38,21,GTFS_TGV
87761007,87764001,Valence,Montélimar,37,22,GTFS_TGV
87757625,87757674,Cannes,Antibes,37,8,GTFS_TGV
87757674,87756056,Antibes,Nice,37,17,GTFS_TGV
87762906,87761007,Lyon Saint-Exupéry TGV,Valence,37,29,GTFS_TGV
87764001,87765107,Montélimar,Orange,37,26,GTFS_TGV
87473207,87473181,Guingamp,Plouaret Trégor,36,14,GTFS_TGV
87583005,87391003,Angoulême,Paris Montparnasse,35,110,GTFS_TGV
87686006,87745000,Paris Gare de Lyon,Bellegarde-sur-Valserine,35,179,GTFS_TGV
87745000,87745497,Bellegarde-sur-Valserine,Annemasse,35,37,GTFS_TGV
87575001,87485490,Poitiers,Saint-Maixent-L'École,35,33,GTFS_TGV
87318964,87751008,Avignon TGV,Marseille Saint-Charles,35,29,GTFS_TGV
87391003,87583005,Paris Montparnasse,Angoulême,35,108,GTFS_TGV
87672006,87673202,Pau,Dax,35,46,GTFS_TGV
87172221,87172239,Vrigne-Meuse,Donchery,34,3,GTFS_TGV
87172213,87172221,Nouvion-sur-Meuse,Vrigne-Meuse,34,3,GTFS_TGV
87172189,87172213,Lumes,Nouvion-sur-Meuse,34,3,GTFS_TGV
87172007,87172155,Charleville-Mézières,Mohon,34,3,GTFS_TGV
87172155,87172189,Mohon,Lumes,34,4,GTFS_TGV
87142109,87171926,Lorraine TGV,Champagne-Ardenne TGV,33,38,GTFS_TGV
87473181,87474338,Plouaret Trégor,Morlaix,33,16,GTFS_TGV
87485300,87485003,Niort,La Rochelle,33,38,GTFS_TGV
87476002,87476317,Lorient Bretagne Sud,Quimperlé,33,11,GTFS_TGV
87471003,87471300,Rennes,Redon,33,34,GTFS_TGV
87575142,87575001,Châtellerault,Poitiers,33,19,GTFS_TGV
87476317,87474155,Quimperlé,Rosporden,33,13,GTFS_TGV
87474155,87474098,Rosporden,Quimper,33,12,GTFS_TGV
87478404,87471508,Laval,Vitré,33,18,GTFS_TGV
87471508,87471003,Vitré,Rennes,33,21,GTFS_TGV
87478107,87471003,Saint-Malo,Rennes,33,45,GTFS_TGV
87746370,87746438,Cluses,Sallanches - Combloux - Megève,33,14,GTFS_TGV
87746438,87746479,Sallanches - Combloux - Megève,Saint-Gervais-les-Bains Le Fayet,33,6,GTFS_TGV
87192039,87113001,Metz,Paris Est,32,85,GTFS_TGV
87113001,87192039,Paris Est,Metz,32,84,GTFS_TGV
87686006,87741645,Paris Gare de Lyon,Albertville,32,232,GTFS_TGV
87113001,87141002,Paris Est,Nancy,32,91,GTFS_TGV
87486019,87481002,La Roche-sur-Yon,Nantes,32,45,GTFS_TGV
87191007,87192039,Thionville,Metz,32,21,GTFS_TGV
87485490,87575001,Saint-Maixent-L'École,Poitiers,31,32,GTFS_TGV
87686006,87751008,Paris Gare de Lyon,Marseille Saint-Charles,31,185,GTFS_TGV
87741306,87741009,Saint-Avre - La Chambre,Chambéry - Challes-les-Eaux,31,34,GTFS_TGV
87485300,87485490,Niort,Saint-Maixent-L'École,31,14,GTFS_TGV
87172007,87172213,Charleville-Mézières,Nouvion-sur-Meuse,31,10,GTFS_TGV
87723197,87726000,Lyon Part Dieu,Saint-Étienne Châteaucreux,31,42,GTFS_TGV
87172213,87172239,Nouvion-sur-Meuse,Donchery,31,6,GTFS_TGV
87746479,87746438,Saint-Gervais-les-Bains Le Fayet,Sallanches - Combloux - Megève,30,6,GTFS_TGV
87746438,87746370,Sallanches - Combloux - Megève,Cluses,30,14,GTFS_TGV
87753657,87753004,Arles,Miramas,30,22,GTFS_TGV
87765008,87753657,Avignon Centre,Arles,30,17,GTFS_TGV
87486449,87486019,Les Sables-d'Olonne,La Roche-sur-Yon,29,25,GTFS_TGV
87172213,87172007,Nouvion-sur-Meuse,Charleville-Mézières,29,10,GTFS_TGV
87172239,87172213,Donchery,Nouvion-sur-Meuse,29,6,GTFS_TGV
87773200,87773002,Sète,Montpellier Saint-Roch,29,17,GTFS_TGV
