station_name_normalized,station_name,uic_code
abancourt,Abancourt,87313759
abbaretz,Abbaretz,87481614
abbeville,Abbeville,87317362
ablon-sur-seine,Ablon-sur-Seine,87545269
acheres grand cormier,Achères Grand Cormier,87386052
acheres ville,Achères Ville,87381657
achiet-le-grand,Achiet-le-Grand,87342048
aeroport charles de gaulle 1,Aéroport Charles de Gaulle 1,87271460
aeroport charles de gaulle 2 tgv,Aéroport Charles de Gaulle 2 TGV,87001479;87271494
agay,Agay,87757559
agde,Agde,87781278
agen,Agen,87586008
agonac,Agonac,87595157
aguilcourt - variscourt,Aguilcourt - Variscourt,87171702
aigrefeuille le thou,Aigrefeuille le Thou,87485193
aiguebelette-le-lac,Aiguebelette-le-Lac,87741421
aiguebelle,Aiguebelle,87741256
aigueperse,Aigueperse,87734129
aigues-mortes,Aigues-Mortes,87775858
aiguillon,Aiguillon,87586693
aillevillers,Aillevillers,87185629
ailly-sur-noye,Ailly-sur-Noye,87313221
ailly-sur-somme,Ailly-sur-Somme,87313098
aimargues,Aimargues,87775833
aime - la plagne,Aime - La Plagne,87741769
aiserey,Aiserey,87713636
aix-en-provence,Aix-en-Provence,87751404
aix-en-provence tgv,Aix-en-Provence TGV,87319012
aix-les-bains le revard,Aix-les-Bains le Revard,87741132
aixe-sur-vienne,Aixe-sur-Vienne,87592667
alai,Alaï,87722744
albens,Albens,87746115
albert,Albert,87313072
albertville,Albertville,87741645
albi,Albi,87615005
albi madeleine,Albi Madeleine,87615195
albias,Albias,87613398
albigny - neuville,Albigny - Neuville,87721266
alenon,Alençon,87444711
ales,Alès,87775288
allassac,Allassac,87594234
allee de la tour rendez-vous,Allée de la Tour Rendez-Vous,87113878
allee royale,Allée Royale,87710913
allenc,Allenc,87783654
alleyras,Alleyras,87731885
altkirch,Altkirch,87182238
amagne - lucquy,Amagne - Lucquy,87172262
ambazac,Ambazac,87592311
amberieu-en-bugey,Ambérieu-en-Bugey,87743716
amboise,Amboise,87574343
ambronay - priay,Ambronay - Priay,87743146
amiens,Amiens,87313874
amifontaine,Amifontaine,87171744
amilly ouerray,Amilly Ouerray,87394205
amplepuis,Amplepuis,87721035
ancenis,Ancenis,87481192
anchamps,Anchamps,87172858
anche - voulon,Anché - Voulon,87575332
ancy-sur-moselle,Ancy-sur-Moselle,87192419
andelot-en-montagne,Andelot-en-Montagne,87715102
andorre - lhospitalet,Andorre – l’Hospitalet,87611517
andresy,Andrésy,87381491
andrezieux-boutheon,Andrézieux-Bouthéon,87726406
angers maitre ecole,Angers Maître École,87484048
angers saint-laud,Angers Saint-Laud,87484006
angerville,Angerville,87543090
angouleme,Angoulême,87583005
angoulins sur mer,Angoulins sur Mer,87485102
anizy - pinon,Anizy - Pinon,87296566
annappes,Annappes,87286856
annecy,Annecy,87746008
annemasse,Annemasse,87745497
anor,Anor,87295055
anse halte,Anse Halte,87721324
antheor cap roux,Anthéor Cap Roux,87757567
antibes,Antibes,87757674
anvin,Anvin,87317255
apach,Apach,87191643
appilly,Appilly,87296459
arbanats,Arbanats,87582726
arbois,Arbois,87718155
arc-et-senans,Arc-et-Senans,87718841
arcachon,Arcachon,87582668
arches,Arches,87144410
arcy-sur-cure,Arcy-sur-Cure,87683680
arenc euromediterranee,Arenc Euroméditerranée,87580340
arengosse,Arengosse,87671479
argeles-sur-mer,Argelès-sur-Mer,87784231
argentan,Argentan,87444539
argenteuil,Argenteuil,87381848
argentiere,Argentière,87746859
argenton-sur-creuse,Argenton-sur-Creuse,87597120
arles,Arles,87753657
arleux,Arleux,87345421
armentieres,Armentières,87286146
arnage,Arnage,87396549
arneke,Arnèke,87281121
arpajon,Arpajon,87545467
arras,Arras,87342014
arrou,Arrou,87394486
ars-sur-moselle,Ars-sur-Moselle,87192401
artenay,Artenay,87543058
artix,Artix,87672212
arvant,Arvant,87734251
ascq,Ascq,87286864
asnieres-sur-seine,Asnières-sur-Seine,87381137
aspres-sur-buech,Aspres-sur-Buëch,87763250
assat,Assat,87672162
assier,Assier,87613075
athis-mons,Athis-Mons,87545251
aubagne,Aubagne,87751750
aubazines - saint-hilaire,Aubazines - Saint-Hilaire,87594465
aubergenville elisabethville,Aubergenville Élisabethville,87386730
aubiat,Aubiat,87734111
aubie - saint-antoine,Aubie - Saint-Antoine,87491233
aubiet,Aubiet,87611764
aubigne-racan,Aubigné-Racan,87396572
aubigny-au-bac,Aubigny-au-Bac,87345447
aubigny-en-artois,Aubigny-en-Artois,87342246
aubin,Aubin,87613224
aubin-saint-vaast,Aubin-Saint-Vaast,87316604
auboue,Auboué,87191684
aubrives,Aubrives,87172122
auch,Auch,87611749
auchy-les-hesdin,Auchy-lès-Hesdin,87317230
audrieu,Audrieu,87444059
audruicq,Audruicq,87281428
audun-le-roman,Audun-le-Roman,87194357
auffay,Auffay,87415158
aulnat aeroport,Aulnat Aéroport,87562421
aulnay-sous-bois,Aulnay-sous-Bois,87271411
aulnoye-aymeries,Aulnoye-Aymeries,87295600
aumale,Aumale,87313767
aumont-aubrac,Aumont-Aubrac,87783266
auneau,Auneau,87545657
auray,Auray,87476200
aurec-sur-loire,Aurec-sur-Loire,87726760
aurillac,Aurillac,87645002
auterive,Auterive,87611384
auvers-sur-oise,Auvers-sur-Oise,87276543
auxerre saint-gervais,Auxerre Saint-Gervais,87683573
auxonne,Auxonne,87713347
avallon,Avallon,87683789
avenay,Avenay,87171579
avenue du president kennedy maison de radio france,Avenue du Président Kennedy Maison de Radio France,87543207
avenue foch,Avenue Foch,87381038
avenue henri martin,Avenue Henri Martin,87381046
avesnelles,Avesnelles,87295725
avesnes-sur-helpe,Avesnes-sur-Helpe,87295733
avignon centre,Avignon Centre,87765008
avignon tgv,Avignon TGV,87318964;87981902
avignonet-lauragais,Avignonet-Lauragais,87616011
avion,Avion,87342584
avord,Avord,87576439
avoudrey,Avoudrey,87718551
avranches,Avranches,87448514
avrechy,Avrechy,87313296
ax-les-thermes,Ax-les-Thermes,87611533
ay,Ay,87171561
aytre plage,Aytré Plage,87437806
azay-le-rideau,Azay-le-Rideau,87571638
azay-sur-cher,Azay-sur-Cher,87574442
azerailles,Azerailles,87141408
babiniere,Babinière,87590349
baccarat,Baccarat,87141416
bagnac-sur-cele,Bagnac-sur-Célé,87613604
bagneaux-sur-loing,Bagneaux-sur-Loing,87684191
bagnols - chadenet,Bagnols - Chadenet,87783647
bagnols-sur-ceze,Bagnols-sur-Cèze,87764571
baillargues,Baillargues,87773457
bailleau-le-pin,Bailleau-le-Pin,87394411
bailleul,Bailleul,87286179
bailleul-sir-berthoult,Bailleul-Sir-Berthoult,87342592
bailly,Bailly,87710780
bains-les-bains,Bains-les-Bains,87144147
baisieux,Baisieux,87286872
balagny saint-epin,Balagny Saint-Épin,87313569
balbigny,Balbigny,87726869
ballan-mire,Ballan-Miré,87571604
ballancourt-sur-essonne,Ballancourt-sur-Essonne,87681437
balsieges,Balsièges,87111864
banassac - la canourgue,Banassac - La Canourgue,87783324
bandol,Bandol,87755223
bannalec,Bannalec,87474189
bantzenheim,Bantzenheim,87182840
banyuls-sur-mer,Banyuls-sur-Mer,87784298
bar-le-duc,Bar-le-Duc,87175042
bar-sur-aube,Bar-sur-Aube,87118299
baraqueville carcenac peyrales,Baraqueville Carcenac Peyralès,87615757
barentin,Barentin,87411264
barjac,Barjac,87783563
baroncourt,Baroncourt,87192658
barr,Barr,87214247
barsac,Barsac,87582759
bartenheim,Bartenheim,87182113
bas - monistrol-sur-loire,Bas - Monistrol-sur-Loire,87726778
bas evette,Bas Évette,87184200
base aerienne,Base Aérienne,87699223
basse-ham,Basse-Ham,87191601
bassens,Bassens,87581850
batz-sur-mer,Batz-sur-Mer,87481770
baule,Baule,87574152
baume-les-dames,Baume-les-Dames,87718460
bauvin - provin,Bauvin - Provin,87345280
bayeux,Bayeux,87444067
bayon,Bayon,87141218
bayonne,Bayonne,87673004
bazancourt,Bazancourt,87171462
baziege,Baziège,87611723
beard,Béard,87696468
beau marais,Beau Marais,87317610
beaucaire,Beaucaire,87775023
beaugency,Beaugency,87574160
beaulieu-sur-mer,Beaulieu-sur-Mer,87756379
beaumont-le-roger,Beaumont-le-Roger,87387183
beaune,Beaune,87713545
beaurainville,Beaurainville,87317198
beautiran,Beautiran,87582700
beauvais,Beauvais,87313510
beauvoir-sur-niort,Beauvoir-sur-Niort,87485342
beauvoisin,Beauvoisin,87775809
becon les bruyeres,Bécon les Bruyères,87382002
bedarieux,Bédarieux,87781609
bedarrides,Bédarrides,87765198
bedous,Bedous,87672774
begles,Bègles,87581801
beillant,Beillant,87491076
belfort,Belfort,87184002
belfort - montbeliard tgv,Belfort - Montbéliard TGV,87300822
bellac,Bellac,87592485
belle-isle - begard,Belle-Isle - Bégard,87473165
bellegarde-sur-valserine,Bellegarde-sur-Valserine,87745000
bellenaves,Bellenaves,87641068
bellevigny,Bellevigny,87486142
belleville,Belleville,87141804
belleville sur saone,Belleville sur Sâone,87721357
bellevue,Bellevue,87393116
bellignat,Bellignat,87743526
belloy - saint-martin,Belloy - Saint-Martin,87276550
belves,Belvès,87595876
belvezet,Belvezet,87783670
belz - ploemel,Belz - Ploemel,87476408
benesse-maremne,Bénesse-Maremne,87673285
benestroff,Bénestroff,87192302
benfeld,Benfeld,87214122
bengy-sur-craon,Bengy-sur-Craon,87576447
bening-les-saint-avold,Béning-lès-Saint-Avold,87193250
bergerac,Bergerac,87584268
bergues,Bergues,87281105
berlaimont,Berlaimont,87295808
bernay,Bernay,87444299
bersac-sur-rivalier,Bersac-sur-Rivalier,87592352
berthelming,Berthelming,87215335
bertrichamps,Bertrichamps,87141424
bertry,Bertry,87345553
besanon franche-comte tgv,Besançon Franche-Comté TGV,87300863
besanon mouillere,Besançon Mouillère,87718015
besanon viotte,Besançon Viotte,87718007
besle,Beslé,87471219
bessancourt,Bessancourt,87276642
bessay-sur-allier,Bessay-sur-Allier,87696336
betaille,Bétaille,87594747
bethune,Béthune,87342006
betton,Betton,87471045
beuvrages,Beuvrages,87343160
beuvry les bethune,Beuvry lès Béthune,87342402
beynes,Beynes,87393363
beynost,Beynost,87723544
beziers,Béziers,87781005
biache-saint-vaast,Biache-Saint-Vaast,87342097
biarritz,Biarritz,87673400
bibliotheque franois mitterrand,Bibliothèque François Mitterrand,87328328
bidarray pont noblia,Bidarray Pont Noblia,87673699
bidos,Bidos,87691949
bievres,Bièvres,87393546
biganos facture,Biganos Facture,87582478
bigny,Bigny,87576306
billy-montigny,Billy-Montigny,87345140
biot,Biot,87757690
bischheim,Bischheim,87212308
bischoffsheim,Bischoffsheim,87214296
bischwiller,Bischwiller,87213611
bitschwiller-les-thann,Bitschwiller-lès-Thann,87182576
blainville - damelevieres,Blainville - Damelevières,87141135
blaisy-bas,Blaisy-Bas,87713073
blangy-sur-bresle,Blangy-sur-Bresle,87313809
blangy-sur-ternoise,Blangy-sur-Ternoise,87317248
blanquefort,Blanquefort,87581728
blanzy,Blanzy,87694612
blere - la croix,Bléré - La Croix,87574475
blois - chambord,Blois - Chambord,87574004
blonville-sur-mer - benerville,Blonville-sur-Mer - Benerville,87444380
boen-sur-lignon,Boën-sur-Lignon,87726471
bogny-sur-meuse,Bogny-sur-Meuse,87172049
bohain-en-vermandois,Bohain-en-Vermandois,87296269
boigneville,Boigneville,87684407
bois-colombes,Bois-Colombes,87381079
bois-d'oingt - legny,Bois-d'Oingt - Légny,87721787
bois-le-roi,Bois-le-Roi,87682203
boisleux-au-mont,Boisleux-au-Mont,87342071
boisseaux,Boisseaux,87543082
boisset,Boisset,87645184
boissise-le-roi,Boissise-le-Roi,87682518
boissy-l'aillerie,Boissy-l'Aillerie,87381152
bollene la croisiere,Bollène La Croisière,87764357
bollwiller,Bollwiller,87182709
bologne,Bologne,87142224
bondy,Bondy,87113407
bonnemain,Bonnemain,87478065
bonneval,Bonneval,87545731
bonneville,Bonneville,87746339
bonnieres-sur-seine,Bonnières-sur-Seine,87415893
bons-en-chablais,Bons-en-Chablais,87745596
bonson,Bonson,87726414
boran-sur-oise,Boran-sur-Oise,87276444
bordeaux saint-jean,Bordeaux Saint-Jean,87581009
bords,Bords,87491019
bornel - belle-eglise,Bornel - Belle-Église,87276717
bouaye,Bouaye,87481200
boucau,Boucau,87673095
bouchain,Bouchain,87345389
boucoiran-et-nozieres,Boucoiran-et-Nozières,87775346
bouffemont - moisselles,Bouffémont - Moisselles,87276485
bougival,Bougival,87382440
boulainvilliers,Boulainvilliers,87543181
boulazac,Boulazac,87725473
boulogne tintelleries,Boulogne Tintelleries,87317016
boulogne-sur-mer,Boulogne-sur-Mer,87317586
boulouris sur mer,Boulouris sur Mer,87757534
bouray,Bouray,87545178
bourbourg,Bourbourg,87281279
bourg-bruche,Bourg-Bruche,87214775
bourg-en-bresse,Bourg-en-Bresse,87743005
bourg-madame,Bourg-Madame,87784876
bourg-saint-maurice,Bourg-Saint-Maurice,87741793
bourges,Bourges,87576207
bourgneuf-en-retz,Bourgneuf-en-Retz,87481242
bourgoin-jallieu,Bourgoin-Jallieu,87723429
bourgtheroulde - thuit-hebert,Bourgtheroulde - Thuit-Hébert,87415323
bournezeau,Bournezeau,87486324
bourron-marlotte - grez,Bourron-Marlotte - Grez,87684118
boussay - la bruffiere,Boussay - La Bruffière,87481176
boussens,Boussens,87611095
boussy-saint-antoine,Boussy-Saint-Antoine,87682138
boutheon,Bouthéon,87726216
boutigny-sur-essonne,Boutigny-sur-Essonne,87681478
boves,Boves,87313213
bram,Bram,87615054
branderion,Brandérion,87476242
brassac-les-mines - sainte-florine,Brassac-les-Mines - Sainte-Florine,87734244
brax - leguevin,Brax - Léguevin,87611822
brazey-en-plaine,Brazey-en-Plaine,87713644
breaute - beuzeville,Bréauté - Beuzeville,87413344
brebieres,Brebières,87345108
breitenbach,Breitenbach,87182659
brelidy - plouec,Brélidy - Plouëc,87473827
bressuire,Bressuire,87487249
brest,Brest,87474007
breteil,Breteil,87471102
bretenoux - biars,Bretenoux - Biars,87594762
breteuil,Breteuil,87313247
bretigny - norges,Bretigny - Norges,87712265
bretigny-sur-orge,Brétigny-sur-Orge,87545194
bretoncelles,Bretoncelles,87394270
bretteville - norrey,Bretteville - Norrey,87444042
breuil - romain,Breuil - Romain,87171322
breuillet - bruyeres-le-chatel,Breuillet - Bruyères-le-Châtel,87545483
breuillet village,Breuillet Village,87545491
breval,Bréval,87381624
brianon,Briançon,87763607
briare,Briare,87696088
brignac,Brignac,87592063
brignais,Brignais,87722728
brignoud,Brignoud,87747451
brimeux,Brimeux,87317180
brion - montreal-la-cluse,Brion - Montréal-la-Cluse,87131961
brionne,Brionne,87415364
brioude,Brioude,87734269
briouze,Briouze,87448084
brive-la-gaillarde,Brive-la-Gaillarde,87594002
broons,Broons,87473074
brou,Brou,87394452
broye,Broye,87694166
bruges,Bruges,87581736
brumath,Brumath,87212134
brunemont,Brunémont,87345439
brunoy,Brunoy,87682120
bruyeres,Bruyères,87144154
bruyeres-sur-oise,Bruyères-sur-Oise,87276451
bruz,Bruz,87471037
bueil,Bueil,87387092
bugeat,Bugeat,87592162
buire-sur-l'ancre,Buire-sur-l'Ancre,87316067
bully - grenay,Bully - Grenay,87342105
buno - gironville,Buno - Gironville,87681510
busigny,Busigny,87296244
bussac-foret,Bussac-Forêt,87491191
busseau sur creuse,Busseau sur Creuse,87597708
bussiere-galant,Bussière-Galant,87592741
buzy en bearn,Buzy en Béarn,87672634
byans-sur-doubs,Byans-sur-Doubs,87718122
cadaujac,Cadaujac,87582684
caen,Caen,87444000
caffiers,Caffiers,87317321
cagnes-sur-mer,Cagnes-sur-Mer,87756320
cahors,Cahors,87613000
calais,Calais,87317263
calais - frethun,Calais - Fréthun,87281071
callac,Callac,87473546
calonne-ricouart,Calonne-Ricouart,87342543
cambo-les-bains,Cambo-les-Bains,87673657
cambrai,Cambrai,87345520
campagnac - saint-geniez,Campagnac - Saint-Geniez,87783340
cannes,Cannes,87757625
cannes la bocca,Cannes La Bocca,87757617
cantin,Cantin,87345413
cap-d'ail,Cap-d'Ail,87756395
capdenac,Capdenac,87613109
capvern,Capvern,87671156
carbonne,Carbonne,87611061
carcassonne,Carcassonne,87615286
carentan,Carentan,87447243
carhaix-plouguer,Carhaix-Plouguer,87473504
carignan,Carignan,87172353
carmaux,Carmaux,87615625
carnoet - locarn,Carnoët - Locarn,87473561
carnoles,Carnoles,87756478
carnoules,Carnoules,87755371
carpentras,Carpentras,87765735
carry-le-rouet,Carry-le-Rouet,87753566
casino lacroix laval,Casino Lacroix Laval,87208553
cassel,Cassel,87281139
cassis,Cassis,87751776
castelnau-d'estretefonds,Castelnau-d'Estrétefonds,87611665
castelnaudary,Castelnaudary,87615039
castelsarrasin,Castelsarrasin,87611897
castillon-la-bataille,Castillon-la-Bataille,87584136
castres,Castres,87615468
cattenieres,Cattenières,87345587
cauderan merignac,Caudéran Mérignac,87581538
caudrot,Caudrot,87582841
caudry,Caudry,87345561
caulnes,Caulnes,87473066
caussade,Caussade,87613356
cavaillon,Cavaillon,87765503
cavignac,Cavignac,87491217
cazeres,Cazères,87611079
ceilhes - roqueredonde,Ceilhes - Roqueredonde,87781542
cenon,Cenon,87581595
cerbere,Cerbère,87785006
cercottes,Cercottes,87543033
cercy-la-tour,Cercy-la-Tour,87696492
cergy le haut,Cergy le Haut,87382655
cergy prefecture,Cergy Préfecture,87381905
cergy saint-christophe,Cergy Saint-Christophe,87382499
cerizay,Cerizay,87487280
cernay haut-rhin,Cernay (Haut-Rhin),87182410
cernay val-d'oise,Cernay (Val-d'Oise),87276063
cerons,Cérons,87582742
cessieu,Cessieu,87723452
cesson,Cesson,87682161
cesson-sevigne,Cesson-Sévigné,87334490
ceyzeriat,Ceyzériat,87743302
chabenet,Chabenet,87597112
chabons,Châbons,87747212
chabris,Chabris,87576223
chagny,Chagny,87713578
chaingy fourneaux plage,Chaingy Fourneaux Plage,87574111
chalais,Chalais,87583690
challans,Challans,87481390
chalon-sur-saone,Chalon-sur-Saône,87725002
chalonnes-sur-loire,Chalonnes-sur-Loire,87484204
chalons-en-champagne,Châlons-en-Champagne,87174003
chamalieres-sur-loire,Chamalières-sur-Loire,87734731
chamarande,Chamarande,87545152
chambery - challes-les-eaux,Chambéry - Challes-les-Eaux,87741009
chambly,Chambly,87276725
chamborigaud,Chamborigaud,87775221
chambourg-sur-indre,Chambourg-sur-Indre,87571463
