station_name_normalized,station_name,uic_code
chamelet,Chamelet,87721829
chamonix aiguille du midi,Chamonix Aiguille du Midi,87462085
chamonix-mont-blanc,Chamonix-Mont-Blanc,87746784
chamousset,Chamousset,87741231
champ de courses d'enghien,Champ de Courses d'Enghien,87276030
champ de mars tour eiffel,Champ de Mars Tour Eiffel,87393058
champagne,Champagné,87396275
champagne-ardenne tgv,Champagne-Ardenne TGV,87171926
champagne-sur-oise,Champagne-sur-Oise,87276519
champagne-sur-seine,Champagne-sur-Seine,87682450
champagney,Champagney,87185348
champagnole,Champagnole,87715326
champagnole paul-emile victor,Champagnole Paul-Émile Victor,87352047
champbenoist - poigny,Champbenoist - Poigny,87115873
champigneulles,Champigneulles,87141085
champigny sur yonne,Champigny sur Yonne,87683128
champlan,Champlan,87725457
champs - saint-bris,Champs - Saint-Bris,87683615
champtoce-sur-loire,Champtocé-sur-Loire,87484352
chanac,Chanac,87783530
changis - saint-jean,Changis - Saint-Jean,87116509
chanteloup-les-vignes,Chanteloup-les-Vignes,87381475
chantenay,Chantenay,87481051
chantenay-saint-imbert,Chantenay-Saint-Imbert,87696302
chantilly - gouvieux,Chantilly - Gouvieux,87276113
chantonnay,Chantonnay,87486332
chapeauroux,Chapeauroux,87734343
chaponost,Chaponost,87722710
chaponval,Chaponval,87276162
charbonnieres-les-bains,Charbonnières-les-Bains,87721530
charleville-mezieres,Charleville-Mézières,87172007
charmes,Charmes,87144055
chars,Chars,87381194
chartres,Chartres,87394007
chartrettes,Chartrettes,87682419
chasse-sur-rhone,Chasse-sur-Rhône,87722561
chasseneuil-du-poitou,Chasseneuil-du-Poitou,87575225
chasserades,Chasseradès,87775148
chateau-arnoux-saint-auban,Château-Arnoux-Saint-Auban,87751230
chateau-du-loir,Château-du-Loir,87396606
chateau-gaillard,Château-Gaillard,87543066
chateau-l'eveque,Château-l'Évêque,87595165
chateau-renault,Château-Renault,87574665
chateau-thierry,Château-Thierry,87116582
chateaubourg,Châteaubourg,87471524
chateaubriant,Châteaubriant,87481648;87590372
chateaudun,Châteaudun,87545756
chateaulin,Châteaulin,87474064
chateauneuf - bujaleuf,Châteauneuf - Bujaleuf,87592105
chateauneuf-sur-charente,Châteauneuf-sur-Charente,87491506
chateauneuf-sur-cher,Châteauneuf-sur-Cher,87576298
chateauroux,Châteauroux,87597005
chatel - nomexy,Châtel - Nomexy,87144071
chatel-censoir,Châtel-Censoir,87696856
chatelaillon-plage,Châtelaillon-Plage,87485110
chatelaudren - plouagat,Châtelaudren - Plouagat,87473140
chatellerault,Châtellerault,87575142
chatillon d'azergues,Châtillon d'Azergues,87721753
chauffailles,Chauffailles,87694778
chaugey,Chaugey,87712679
chaulnes,Chaulnes,87313478
chaumont,Chaumont,87142000
chaumont-en-vexin,Chaumont-en-Vexin,87381228
chauny,Chauny,87296616
chaux-des-crotenay,Chaux-des-Crotenay,87715383
chaville - velizy,Chaville - Vélizy,87393173
chaville rive droite,Chaville Rive Droite,87382333
chaville rive gauche,Chaville Rive Gauche,87393207
