origin_uic,destination_uic,distance_km,duration_minutes,line_code,line_status,origin_name,destination_name,trip_count,source
87118158,87118000,,21,TRAIN,GTFS,Romilly-sur-Seine,Troyes,280,gtfs_stop_times
87584730,87584755,,5,TRAIN,GTFS,Saint-Loubès,La Gorp,280,gtfs_stop_times
87584755,87584730,,5,TRAIN,GTFS,La Gorp,Saint-Loubès,280,gtfs_stop_times
87118000,87118158,,21,TRAIN,GTFS,Troyes,Romilly-sur-Seine,280,gtfs_stop_times
87713545,87713040,,20,TRAIN,GTFS,Beaune,Dijon,279,gtfs_stop_times
87713040,87713545,,20,TRAIN,GTFS,Dijon,Beaune,279,gtfs_stop_times
87271007,87276006,,32,TRAIN,GTFS,Paris Gare du Nord,Creil,271,gtfs_stop_times
87396002,87393702,,57,TGV,GTFS,Le Mans,Massy TGV,271,gtfs_stop_times
87393702,87396002,,57,TGV,GTFS,Massy TGV,Le Mans,271,gtfs_stop_times
87276006,87271007,,32,TRAIN,GTFS,Creil,Paris Gare du Nord,271,gtfs_stop_times
87113001,87118190,,58,TRAIN,GTFS,Paris Est,Nogent-sur-Seine,270,gtfs_stop_times
87118190,87113001,,58,TRAIN,GTFS,Nogent-sur-Seine,Paris Est,270,gtfs_stop_times
87484006,87396002,,42,TGV,GTFS,Angers Saint-Laud,Le Mans,265,gtfs_stop_times
87396002,87484006,,42,TGV,GTFS,Le Mans,Angers Saint-Laud,265,gtfs_stop_times
87756478,87756486,,3,IC,GTFS,Carnoles,Menton,259,gtfs_stop_times
87756478,87756460,,4,IC,GTFS,Carnoles,Roquebrune-Cap-Martin,259,gtfs_stop_times
87756486,87756478,,3,IC,GTFS,Menton,Carnoles,259,gtfs_stop_times
87756460,87756478,,4,IC,GTFS,Roquebrune-Cap-Martin,Carnoles,259,gtfs_stop_times
87575001,87583005,,43,TRAIN,GTFS,Poitiers,Angoulême,258,gtfs_stop_times
87583005,87575001,,43,TRAIN,GTFS,Angoulême,Poitiers,258,gtfs_stop_times
87276006,87276113,,8,TRAIN,GTFS,Creil,Chantilly - Gouvieux,254,gtfs_stop_times
87318964,87319012,,23,TGV,GTFS,Avignon TGV,Aix-en-Provence TGV,254,gtfs_stop_times
87319012,87318964,,23,TGV,GTFS,Aix-en-Provence TGV,Avignon TGV,254,gtfs_stop_times
87276113,87276006,,8,TRAIN,GTFS,Chantilly - Gouvieux,Creil,254,gtfs_stop_times
87319012,87751008,,14,TGV,GTFS,Aix-en-Provence TGV,Marseille Saint-Charles,253,gtfs_stop_times
87751008,87319012,,14,TGV,GTFS,Marseille Saint-Charles,Aix-en-Provence TGV,253,gtfs_stop_times
87611004,87611301,,6,TRAIN,GTFS,Toulouse Matabiau,Saint-Agne,252,gtfs_stop_times
87276279,87276113,,6,TRAIN,GTFS,Orry-la-Ville - Coye,Chantilly - Gouvieux,252,gtfs_stop_times
87271007,87276279,,22,TRAIN,GTFS,Paris Gare du Nord,Orry-la-Ville - Coye,252,gtfs_stop_times
87276113,87276279,,6,TRAIN,GTFS,Chantilly - Gouvieux,Orry-la-Ville - Coye,252,gtfs_stop_times
87276279,87271007,,22,TRAIN,GTFS,Orry-la-Ville - Coye,Paris Gare du Nord,252,gtfs_stop_times
87611301,87611004,,6,TRAIN,GTFS,Saint-Agne,Toulouse Matabiau,252,gtfs_stop_times
87543017,87547000,,64,TRAIN,GTFS,Les Aubrais,Paris Austerlitz,244,gtfs_stop_times
87547000,87543017,,64,TRAIN,GTFS,Paris Austerlitz,Les Aubrais,244,gtfs_stop_times
87773002,87775007,,29,TRAIN,GTFS,Montpellier Saint-Roch,Nîmes Centre,244,gtfs_stop_times
87775007,87773002,,29,TRAIN,GTFS,Nîmes Centre,Montpellier Saint-Roch,244,gtfs_stop_times
87111849,87723197,,114,TGV,GTFS,Marne-la-Vallée Chessy,Lyon Part Dieu,238,gtfs_stop_times
87723197,87111849,,114,TGV,GTFS,Lyon Part Dieu,Marne-la-Vallée Chessy,238,gtfs_stop_times
87781104,87781005,,17,TRAIN,GTFS,Narbonne,Béziers,237,gtfs_stop_times
87781005,87781104,,17,TRAIN,GTFS,Béziers,Narbonne,237,gtfs_stop_times
87713578,87725002,,10,TRAIN,GTFS,Chagny,Chalon-sur-Saône,236,gtfs_stop_times
87725002,87713578,,10,TRAIN,GTFS,Chalon-sur-Saône,Chagny,236,gtfs_stop_times
87142091,87142000,,20,TRAIN,GTFS,Langres,Chaumont,235,gtfs_stop_times
87142125,87142091,,9,TRAIN,GTFS,Culmont - Chalindrey,Langres,235,gtfs_stop_times
87142000,87142091,,20,TRAIN,GTFS,Chaumont,Langres,235,gtfs_stop_times
87142091,87142125,,9,TRAIN,GTFS,Langres,Culmont - Chalindrey,235,gtfs_stop_times
