origin_uic,destination_uic,distance_km,duration_minutes,line_code,line_status
87386425,87276105,14.72,8,338000,EXPLOITE
87386763,87386730,0.79,0,396306,EXPLOITE
87391003;87391011;87391102,87474007,621.07,372,420000,EXPLOITE
87393033,87393157,17.67,10,977000,EXPLOITE
87393033,87547307,0.93,0,983000,EXPLOITE
87393058,87534131;87276055,18.39,11,962000,EXPLOITE
87393066,87543181,0.89,0,971000,FERME MV
87393157,87393223,1.12,0,990000,VS
87393207,87393165,2.22,1,978300,EXPLOITE
87393223,87444562,160.26,96,395000,EXPLOITE
87393223,87733683,15.78,9,990000,EXPLOITE
87393322,87328328,7.15,4,980000,NEUT
87393405,87393843,2.87,1,395306,EXPLOITE
87393421,87386763,18.42,11,396000,EXPLOITE
87394007,87545707,24.25,14,556000,EXPLOITE
87394015,87394494,52.52,31,500000,EXPLOITE
87396002,87484048,96.34,57,450000,EXPLOITE
87396002,87743872,0.74,0,450306,EXPLOITE
87411256,87415018,49.64,29,350000,EXPLOITE
87411454,87411280,35.26,21,354000,EXPLOITE
87413302,87413013,8.69,5,341300,EXPLOITE
87413344,87413542,19.98,11,359000,EXPLOITE
87444265,87444349,19.09,11,377000,NEUT
87444265,87444372,29.66,17,390000,EXPLOITE
87444315,87411181,57.4,34,372000,EXPLOITE
87444414,87444372,22.29,13,379000,EXPLOITE
87444711,87394288,65.74,39,423000,RETRANCHE
87447219,87473108,205.32,123,415000,EXPLOITE
87471003,87471300,69.7,41,468000,EXPLOITE
87471391,87478107,78.37,47,441000,EXPLOITE
87473181,87473223,15.93,9,446000,EXPLOITE
87473207,87473504,53.25,31,485000,EXPLOITE
87473207,87473868,35.91,21,486000,EXPLOITE
87476200,87476457,26.36,15,473000,EXPLOITE
87481002,87481036,4.11,2,514300,EXPLOITE
87481002,87486019,76.63,45,530000,EXPLOITE
87481226,87481283,29.26,17,536000,EXPLOITE
87481648;87590372,87471003,58.59,35,466000,EXPLOITE
87481705,87481788,26.06,15,516000,EXPLOITE
87481838,87474239,298.04,178,470000,EXPLOITE
87484337,87484303,44.15,26,523000,EXPLOITE
87485003,87437798,4.05,2,539000,EXPLOITE
87485003,87491001,73.1,43,530000,EXPLOITE
87491001,87491803,36.72,22,544000,EXPLOITE
87491001,87581595,116.7,70,500000,EXPLOITE
87497461,87611749,82.98,49,648000,EXPLOITE
87534131;87276055,87276535,15.32,9,328000,EXPLOITE
87534339,87182071,9.76,5,125000,EXPLOITE
87534339,87182642,32.32,19,130000,EXPLOITE
87534339,87472639,4.19,2,132000,EXPLOITE
87543009,87571000,112.61,67,570000,EXPLOITE
87543017,87543009,3.0,1,569000,EXPLOITE
87545137,87545350,1.8,1,684000,EXPLOITE
87545194,87571513,202.22,121,550000,EXPLOITE
